MIMS APP ROLES — PRODUCER REVIEW
Generated May 23, 2026

Day rate = expert anchor (10+ yrs), freelance market, before rush/usage/client adjustments.

Role	Day rate
1st AC	650
1st AD	850
2nd AC	500
2nd AD	650
3D Artist	800
AD	850
Aerial Cinematographer	1500
AI Artist	900
Animal Wrangler	450
Animation Supervisor	1100
Animator	750
Armorer	950
Art Coordinator	550
Art Director	950
Art Production Assistant	350
Assistant Animator	500
Assistant Editor	450
Audio Engineer	750
Audio Visual Technician	550
Best Boy Electric	650
Best Boy Grip	650
Boom Operator	550
BTS Photographer	650
BTS Videographer	700
Camera Operator	850
Casting Assistant	400
Casting Associate	600
Casting Director	1000
CG Artist	800
Chief Lighting Technician	800
Choreographer	1100
Co-Director	1500
Color Assistant	450
Colorist	1100
Composer	1200
Compositor	800
Concept Artist	750
Copywriter	750
Costume Assistant	450
Costume Designer	950
Crane Operator	850
Creative Director	1400
Dancer	600
Design Assistant	450
Designer	750
Digitech	650
Director	1800
Director of Photography	1500
Director's Assistant	450
DIT	850
DMX Technician	750
Dolly Grip	650
Drone Operator	1000
Editor	900
Electric	550
Executive Assistant	450
Film Loader	450
Florist	650
Focus Puller	650
Foley Artist	700
Food Stylist	900
FPV Drone Pilot	1300
Gaffer	800
Graphic Designer	650
Greensman	550
Grip	550
Hair & Makeup Artist	850
Hair & Makeup Assistant	450
Hair Assistant	450
Hair Stylist	750
Illustrator	650
Intimacy Coordinator	900
Jib Crane Tech	700
Jib Operator	850
Jib Tech	650
Key Grip	800
Lead Animator	1100
Lead Compositor	1100
Lighting Assistant	450
Lighting Console Programmer	850
Lighting Designer	1000
Lighting Director	1100
Lighting Tech	550
Line Producer	1200
Live Editor	850
Live Show Designer	1200
Location Manager	750
Location Scout	600
Makeup Artist	750
Makeup Assistant	450
Music Supervisor	950
Music Supervisor Assistant	450
Office PA	350
PA	350
Photo Assistant	450
Photographer	900
Post Producer	950
Post Production Assistant	350
Post Production Coordinator	550
Post Sound Mixer	850
Post Supervisor	900
Producer	1300
Production Coordinator	550
Production Designer	1100
Production Manager	850
Production Supervisor	750
Project Manager	850
Prop Maker	650
Prop Master	850
Prop Stylist	800
Pyrotechnician	1000
Render Artist	750
Retoucher	650
Rig AC	550
Rigging BBE	650
Rigging BBG	650
Rigging Electrician	550
Rigging Gaffer	800
Rigging Grip	550
Rigging Key Grip	800
Script Supervisor	700
Set Builder	600
Set Carpenter	600
Set Decorator	800
Set Designer	850
Set Dresser	550
Set Lighting Technician	550
SFX Coordinator	600
SFX Makeup Artist	850
SFX Supervisor	1100
SFX Technician	700
Sound Designer	850
Sound Mixer	950
Steadicam Operator	1400
Storyboard Artist	700
Stunt Coordinator	1100
Stylist	900
Stylist Assistant	450
Supervising Producer	1100
Swing	550
Switch Board Operator	550
Technical Director	1200
Technocrane Operator	950
Technocrane Tech	750
Treatment Designer	750
Trinity Operator	1400
Truck PA	350
Underwater Camera Operator	1200
Unit Production Manager	950
Utility Sound Tech	450
VFX Artist	750
VFX Supervisor	1200
Videographer	800
Writer	950
